imgName,Vpresent,Vpl,Vpr,Vpc,safeToAcc
041000.jpg,0,0,0,0,1
041001.jpg,0,0,0,0,1
041002.jpg,0,0,0,0,0.5
041003.jpg,0,1,0,0,0
041004.jpg,0,0,0,0,0.5
041005.jpg,0,1,0,1,0
041006.jpg,0,0,0,0,0.5
041007.jpg,0,0,0,1,0
041008.jpg,0,0,0,0,0.5
041009.jpg,0,0,0,1,0
041010.jpg,0,0,0,0,0.5
041011.jpg,0,0,0,1,0
041012.jpg,0,0,0,0,0.5
041013.jpg,0,0,0,0,0
041014.jpg,0,0,0,1,0
041015.jpg,0,0,0,0,0
041016.jpg,0,0,0,0,0.5
041017.jpg,0,0,0,1,0
041018.jpg,0,0,0,0,0
041019.jpg,0,0,0,0,0.5
041020.jpg,0,0,0,1,0
041021.jpg,0,0,0,0,1
041022.jpg,0,0,0,1,0
041023.jpg,0,0,0,0,1
041024.jpg,0,0,0,1,0
041025.jpg,0,0,0,0,0.5
041026.jpg,0,0,0,1,0
041027.jpg,0,0,0,0,0.5
041028.jpg,0,0,0,1,0
041029.jpg,0,0,0,0,0.5
041030.jpg,0,0,0,1,0
041031.jpg,0,0,1,0,0
041032.jpg,0,0,0,0,0.5
041034.jpg,0,0,1,0,0
041035.jpg,0,0,0,0,0.5
041036.jpg,0,0,1,0,0
041037.jpg,0,0,0,1,0
041038.jpg,0,0,1,0,0
041039.jpg,0,0,0,0,0.5
041040.jpg,0,0,0,1,0
041041.jpg,0,0,0,0,0
041042.jpg,0,0,1,0,0
041043.jpg,0,0,0,0,0.5
041044.jpg,0,0,0,1,0
041045.jpg,0,0,1,0,0
041046.jpg,0,0,0,0,0
041047.jpg,0,0,0,1,0
041048.jpg,0,0,1,0,0
041049.jpg,0,0,0,1,0
041050.jpg,0,0,0,0,0
041051.jpg,0,0,1,0,0
041052.jpg,0,0,0,0,0.5
041053.jpg,0,0,0,1,0
041054.jpg,0,0,1,0,0
041055.jpg,0,0,0,0,0.5
041056.jpg,0,0,1,0,0
041057.jpg,0,0,0,1,0
041058.jpg,0,0,0,0,0
041059.jpg,0,0,1,0,0
041060.jpg,0,0,0,0,0
041061.jpg,0,0,0,1,0
041062.jpg,0,0,0,0,0
041063.jpg,0,0,1,0,0
041064.jpg,0,0,0,0,0.5
041065.jpg,0,0,1,0,0
041066.jpg,0,0,0,0,0
041067.jpg,0,0,1,0,0
041068.jpg,0,0,0,0,0.5
041069.jpg,0,0,0,1,0
041070.jpg,0,0,0,0,0
041071.jpg,0,0,1,0,0
041072.jpg,0,0,0,0,0.5
041073.jpg,0,0,0,1,0
041074.jpg,0,0,1,0,0
041075.jpg,0,0,0,0,0
041076.jpg,0,0,1,0,0
041077.jpg,0,0,0,1,0
041078.jpg,0,0,0,0,0
041079.jpg,0,0,1,0,0
041080.jpg,0,0,0,0,0.5
041081.jpg,0,0,0,1,0
041082.jpg,0,0,1,0,0
041083.jpg,0,0,0,0,0.5
041084.jpg,0,0,1,0,0
041085.jpg,0,0,0,1,0
041086.jpg,0,0,0,0,0
041087.jpg,0,0,1,0,0
041088.jpg,0,0,0,0,1
041089.jpg,0,0,1,0,1
041090.jpg,0,0,0,0,0
041091.jpg,0,0,1,0,0
041092.jpg,0,0,0,0,1
041093.jpg,0,0,1,0,1
041094.jpg,0,0,0,0,0
041095.jpg,0,0,1,0,0
041096.jpg,0,0,0,0,1
041097.jpg,0,0,1,0,1
041098.jpg,0,0,0,0,0
041099.jpg,0,0,1,0,0
041100.jpg,0,0,0,0,1
041101.jpg,0,0,1,0,1
041102.jpg,0,0,1,0,0
041103.jpg,0,0,0,0,0
041104.jpg,0,0,1,0,0
041105.jpg,0,0,1,0,0.5
